name,fMF,nHBAcc,nHBDon,Lipinski,GhoseFilter,apol,bpol,Vabc,MW,AMW
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c4nsnc4c(cc3c3nsnc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c4nsnc4c(cc3c3nsnc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,0.6116504854368932,34,0,0,0,301.8987519999985,135.06124800000018,1667.838824121001,2275.851075287987,11.04782075382518
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4cc(F)c(C)s4)c4sc(cc4c(-c4cc(F)c(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0.5517241379310345,16,0,0,0,167.7161340000005,77.4838660000001,970.8406796682301,1279.8991288960008,11.033613180137937
CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0.6057692307692307,36,0,0,0,307.6987519999986,139.9812480000002,1704.8568730696302,2339.795217287987,11.249015467730706
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0.5517241379310345,16,0,0,0,167.93572000000052,77.26428000000011,958.7055617606146,1243.917972520001,10.723430797586216
CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0.5423728813559322,18,0,0,0,173.73572000000053,82.18428000000011,995.7236107092432,1307.8621145200011,11.083577241694925
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc([se]3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,0.5953757225433526,19,0,0,0,244.82882200000037,108.07117800000015,1363.125868496168,1931.901380648001,11.16706000374567
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,0.5953757225433526,21,0,0,0,243.0888220000004,104.59117800000014,1354.5220934155368,1836.012480048001,10.612788902011566
CN1C(=S)S\\C(=C/c2ccc(s2)-c2sc(cc2C)-c2sc(cc2C)-c2cc3c(-c4cc(C)c(C)s4)c4sc(cc4c(-c4cc(C)c(C)s4)c3s2)-c2cc(C)c(s2)-c2cc(C)c(s2)-c2ccc(\\C=C3/SC(=S)N(C)C3=O)s2)C1=O,0.5245901639344263,16,0,0,0,173.9428920000006,81.27710800000013,993.2975322083292,1271.949272648001,10.425813710229516
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc([se]2)-c2c(F)c(F)c(-c3ccc([se]3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc([se]3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nn(C)nc23)c2nsnc12,0.5819209039548022,17,0,0,0,248.43920100000037,111.53079900000017,1381.5133649240622,2024.844759344001,11.439800900248594
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0.6,14,0,0,0,155.15896200000049,67.7210380000001,866.8398490755637,1181.9926699680009,10.745387908800009
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4cc5sc(C)cc5s4)c4sc(cc4c(-c4cc5sc(C)cc5s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0.5737704918032787,18,0,0,0,180.41572000000048,82.18428000000011,1013.1217158137054,1355.862114520001,11.113623889508204
COc1c2cc(sc2c(OC)c2cc(sc12)-c1sc(\\C=C2/SC(=S)N(C)C2=O)c2sc(C)cc12)-c1sc(\\C=C2/SC(=S)N(C)C2=O)c2sc(C)cc12,0.5263157894736842,14,0,0,0,110.53103200000002,54.84496800000008,641.1286681098629,867.8943172480009,11.419662069052643
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0.6,14,0,0,0,155.15896200000049,67.7210380000001,866.8398490755637,1181.9926699680009,10.745387908800009
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc([se]2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0.6,12,0,0,0,156.8989620000005,71.20103800000011,875.443624156195,1277.8815705680006,11.617105186981824
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,0.5657894736842105,20,0,0,0,220.93723600000052,99.14276400000014,1238.6509388666334,1623.9001569040008,10.68355366384211
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0.5517241379310345,16,0,0,0,167.93572000000052,77.26428000000011,958.7055617606146,1243.917972520001,10.723430797586216
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,0.5657894736842105,20,0,0,0,220.93723600000052,99.14276400000014,1238.6509388666334,1623.9001569040008,10.68355366384211
CN1C(=O)S\\C(=C/c2sc(-c3cc4sc5c(-c6ccc(C)s6)c6c(sc7cc(sc67)-c6sc(\\C=C7/SC(=O)N(C)C7=S)c7cc(C)sc67)c(-c6ccc(C)s6)c5c4s3)c3sc(C)cc23)C1=S,0.5957446808510638,16,0,0,0,143.23420400000037,65.22579600000009,796.2915453130087,1111.824072136001,11.827915661021287
Cc1cc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)sc1-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc2sc(cc2s1)-c1sc(cc1C)-c1sc(cc1C)-c1sc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)cc1C,0.4807692307692308,18,0,0,0,146.71496200000044,66.14503800000011,867.5770538588349,1093.995034328001,10.519183022384626
