name,ABC,ABCGG,nAcid,nBase,nAromAtom,nAromBond,BalabanJ,BertzCT,ECIndex,fragCpx,fMF,Kier1,Kier2,Kier3,VMcGowan,nRot,RotRatio,SLogP,SMR,TopoPSA(NO),TopoPSA
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c4nsnc4c(cc3c3nsnc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c4nsnc4c(cc3c3nsnc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,118.52217030920505,74.23644237439984,0,0,114,122,0.35039711210591545,9228.603395663207,15794,8202.36,0.6116504854368932,100.0248724489796,40.25989161470777,17.91190006574622,1487.2199999999978,18,0.10714285714285714,38.720399999999884,642.6080000000011,143.73999999999998,823.3200000000002
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4cc(F)c(C)s4)c4sc(cc4c(-c4cc(F)c(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,64.1196245256488,45.03026933325853,0,0,52,54,0.6716476755491523,4091.8695389882087,4418,2094.2,0.5517241379310345,57.09407407407407,22.69142857142857,10.616606215076953,834.9200000000016,10,0.1111111111111111,21.734720000000035,353.9220000000006,40.620000000000005,437.80000000000007
CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,119.71760427209581,75.06311679258923,0,0,114,122,0.3546614554944925,9273.87492400096,15940,8308.38,0.6057692307692307,101.89121107266436,41.37184343434343,18.314849648277463,1519.9199999999978,20,0.11764705882352941,39.54735999999987,656.6960000000012,143.74,873.9200000000002
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,62.567511592833114,43.81189459622676,0,0,52,54,0.6581177015274982,4012.205572346454,4336,2044.18,0.5517241379310345,55.20402892561984,22.204801038062282,10.405768429820908,831.4000000000016,10,0.11363636363636363,21.456520000000037,354.0060000000006,40.620000000000005,437.80000000000007
CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,63.762945555723846,44.64104711966649,0,0,52,54,0.6689506152935837,4053.137513482285,4422,2094.2,0.5423728813559322,57.09407407407407,23.353917244276413,10.83,864.1000000000013,12,0.13333333333333333,22.283480000000033,368.0940000000006,40.620000000000005,488.4000000000001
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc([se]3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,100.36426904281832,61.237910146542774,0,0,99,102,0.37544764124611363,7403.487855583511,12020,6122.27,0.5953757225433526,82.17397341797262,30.27120931017035,12.670433145009417,1191.39,12,0.08450704225352113,31.110340000000082,496.72100000000074,77.34,444.4600000000001
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,100.36426904281832,61.237910146542774,0,0,99,102,0.37544764124611363,7394.990212985217,12020,6122.27,0.5953757225433526,82.17397341797262,30.27120931017035,12.670433145009417,1181.5900000000004,12,0.08450704225352113,33.11934000000005,498.5950000000007,77.34,500.9400000000001
CN1C(=S)S\\C(=C/c2ccc(s2)-c2sc(cc2C)-c2sc(cc2C)-c2cc3c(-c4cc(C)c(C)s4)c4sc(cc4c(-c4cc(C)c(C)s4)c3s2)-c2cc(C)c(s2)-c2cc(C)c(s2)-c2ccc(\\C=C3/SC(=S)N(C)C3=O)s2)C1=O,64.1196245256488,45.04285721900341,0,0,52,54,0.6755807762873699,4079.2190009690967,4410,2094.18,0.5245901639344263,57.09407407407407,22.69142857142857,10.616606215076953,859.5800000000017,10,0.1111111111111111,22.073360000000037,363.48000000000064,40.620000000000005,437.80000000000007
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc([se]2)-c2c(F)c(F)c(-c3ccc([se]3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc([se]3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nn(C)nc23)c2nsnc12,101.18076562374604,61.70109785130402,0,0,99,102,0.37864600192732667,7465.529104517432,12081,6169.27,0.5819209039548022,83.10039610738912,30.521026358930907,12.854342885999243,1208.9099999999999,12,0.08391608391608392,28.378340000000073,495.94100000000077,82.27,364.6700000000001
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,63.63374239083635,42.69233450799732,0,0,64,66,0.5686082762430427,4302.256561379255,4914,2400.18,0.6,52.77777777777778,19.80613425925926,8.411497348708021,759.5400000000021,8,0.08888888888888889,21.309840000000033,319.3260000000003,51.56,333.96000000000004
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4cc5sc(C)cc5s4)c4sc(cc4c(-c4cc5sc(C)cc5s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,68.14348561328576,46.61220782781161,0,0,58,62,0.630463868386945,4553.236914691962,4680,2574.2,0.5737704918032787,58.376953125,23.04,10.63883511488932,890.1400000000014,10,0.10416666666666667,23.88592000000004,384.7720000000006,40.620000000000005,494.2800000000001
COc1c2cc(sc2c(OC)c2cc(sc12)-c1sc(\\C=C2/SC(=S)N(C)C2=O)c2sc(C)cc12)-c1sc(\\C=C2/SC(=S)N(C)C2=O)c2sc(C)cc12,42.49272297872463,31.7001158840821,0,0,28,32,0.8942810146220006,2573.7730964791176,1980,948.16,0.5263157894736842,37.57,14.42960615663196,6.25,554.2000000000012,6,0.1,12.298439999999985,239.04999999999976,59.080000000000005,343.30000000000007
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,63.63374239083635,42.69233450799732,0,0,64,66,0.5686082762430427,4302.256561379255,4914,2400.18,0.6,52.77777777777778,19.80613425925926,8.411497348708021,759.5400000000021,8,0.08888888888888889,21.309840000000033,319.3260000000003,51.56,333.96000000000004
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc([se]2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,63.63374239083635,42.69233450799732,0,0,64,66,0.5686082762430427,4309.475842328129,4914,2400.18,0.6,52.77777777777778,19.80613425925926,8.411497348708021,769.3400000000019,8,0.08888888888888889,19.30084000000002,317.4520000000004,51.56,277.48
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,82.92842681604651,55.94699695139168,0,0,74,78,0.558158841117834,5677.19164425101,6974,3789.22,0.5657894736842105,71.59763313609467,28.70414201183432,13.166204986149584,1085.6000000000008,13,0.1111111111111111,29.626760000000054,466.3080000000008,40.620000000000005,550.7600000000001
