name,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,HybRatio,FCSP3
CN1C(=S)S\\C(=C\\c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c4nsnc4c(cc3c3nsnc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c4nsnc4c(cc3c3nsnc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,70,20,10,0,0,0,0.11320754716981132,0.11320754716981132
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4cc(F)c(C)s4)c4sc(cc4c(-c4cc(F)c(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,38,8,6,0,0,0,0.13793103448275862,0.13793103448275862
CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0,0,4,68,20,8,0,0,0,0.11320754716981132,0.11320754716981132
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0,0,2,38,8,6,0,0,0,0.13793103448275862,0.13793103448275862
CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(sc12)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(\\C=C2/SC(=S)N(C)C2=O)cc1C,0,0,4,36,8,4,0,0,0,0.13793103448275862,0.13793103448275862
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc([se]3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,0,0,0,60,18,10,0,0,4,0.15217391304347827,0.15217391304347827
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,0,0,0,60,18,10,0,0,4,0.15217391304347827,0.15217391304347827
CN1C(=S)S\\C(=C/c2ccc(s2)-c2sc(cc2C)-c2sc(cc2C)-c2cc3c(-c4cc(C)c(C)s4)c4sc(cc4c(-c4cc(C)c(C)s4)c3s2)-c2cc(C)c(s2)-c2cc(C)c(s2)-c2ccc(\\C=C3/SC(=S)N(C)C3=O)s2)C1=O,0,0,2,36,10,8,0,0,0,0.16666666666666666,0.16666666666666666
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc([se]2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc([se]2)-c2c(F)c(F)c(-c3ccc([se]3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc([se]3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nn(C)nc23)c2nsnc12,0,0,0,60,18,10,0,0,4,0.16129032258064516,0.16129032258064516
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0,0,0,40,10,6,0,0,2,0.13793103448275862,0.13793103448275862
