,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1,fMF,nHBAcc,apol,bpol,Vabc,MW,AMW,ABC,ABCGG,nAromAtom,nAromBond,C1SP2,C2SP2,C3SP2,C1SP3,HybRatio,FCSP3
0,9.84,2609.936,0.033470005,0.009251871,130,530.36,0.344485262,6.210168907,3.40686553,0.218779544,1.727248407,0.149118395,1.635171153,1.6513,0.6117,34,301.898752,135.061248,1667.838824,2275.851075,11.04782075,118.52217030920504,74.23644237439984,114,122,2,70,20,10,0.1132075471698113,0.1132075471698113
1,9.54,1272.633,0.033470005,0.063130416,68,457.0,0.357499652,6.512217741,3.667822722,0.327897202,2.06897251,0.484362671,1.055898826,1.8847,0.5517,16,167.716134,77.483866,970.8406797,1279.899129,11.03361318,64.1196245256488,45.03026933325853,52,54,2,38,8,6,0.1379310344827586,0.1379310344827586
2,9.45,2583.469667,0.033470005,0.012245124,130,527.22,0.34670299,6.276385094,3.483601638,0.174152871,1.775410098,0.140410752,1.877727376,1.6548,0.6058,36,307.698752,139.981248,1704.856873,2339.795217,11.24901547,119.7176042720958,75.06311679258923,114,122,4,68,20,8,0.1132075471698113,0.1132075471698113
3,9.36,1267.351,0.033470005,0.046259356,68,454.6,0.367622832,6.428867361,3.58455588,0.38558534,2.018271839,0.528989344,1.334010409,1.8951,0.5517,16,167.93572,77.26428,958.7055618,1243.917973,10.7234308,62.56751159283312,43.81189459622676,52,54,2,38,8,6,0.1379310344827586,0.1379310344827586
4,9.01,1348.671333,0.033470005,0.06694001,68,452.77,0.36677683,6.529201455,3.695578335,0.344496147,2.041072734,0.467219498,1.18416243,1.9175,0.5424,18,173.73572,82.18428,995.7236107,1307.862115,11.08357724,63.762945555723846,44.64104711966649,52,54,4,36,8,4,0.1379310344827586,0.1379310344827586
5,9.0,1548.767667,0.077824564,0.5025943,86,613.14,0.197043088,6.097001923,3.23842705,0.330890454,1.911889803,0.155377014,0.0002,1.1221,0.5954,19,244.828822,108.071178,1363.125868,1931.901381,11.16706,100.36426904281832,61.23791014654277,99,102,0,60,18,10,0.1521739130434782,0.1521739130434782
6,8.91,2008.500333,0.033470005,0.066123668,99,520.42,0.242888831,6.104950641,3.302645921,0.139050183,1.89989119,0.437831201,1.959911452,1.7066,0.5954,21,243.088822,104.591178,1354.522093,1836.01248,10.6127889,100.36426904281832,61.23791014654277,99,102,0,60,18,10,0.1521739130434782,0.1521739130434782
7,8.9,1350.655,0.033470005,0.054422772,68,459.31,0.357077603,6.398346798,3.563058885,0.369530622,2.001557001,0.521098042,1.590221557,1.885,0.5246,16,173.942892,81.277108,993.2975322,1271.949273,10.42581371,64.1196245256488,45.04285721900341,52,54,2,36,10,8,0.1666666666666666,0.1666666666666666
8,8.85,2062.969,0.033470005,0.005714391,99,507.21,0.297586438,6.039254192,3.235161684,0.165445227,1.81728741,0.489260721,2.20108267,1.7187,0.5819,17,248.439201,111.530799,1381.513365,2024.844759,11.4398009,101.18076562374604,61.70109785130402,99,102,0,60,18,10,0.1612903225806451,0.1612903225806451
9,8.54,1219.206333,0.033470005,0.054694886,64,503.34,0.342527947,6.182630985,3.354347555,0.397830464,1.967524674,0.465314701,1.081186094,1.709,0.6,14,155.158962,67.721038,866.8398491,1181.99267,10.74538791,63.63374239083635,42.69233450799732,64,66,0,40,10,6,0.1379310344827586,0.1379310344827586
